,,,"Post","Post",,"BackLeg"," ",,"AheadLeg",,,
4,131,"MRN"," ",0.67,"STRAWBERRY BOULEVARD (BELVEDERE DRIVE)                                                                        ",3150,32500,32000,3300,36000,33000,
4,131,"MRN","R",1.57,"MILEPOST EQUATION   =1.64                                                                                     ",,,,,,,
4,131,"MRN"," ",1.86,"TIBURON, TRESTLE GLEN DRIVE                                                                                   ",2800,30000,28000,2450,26500,24700,
4,131,"MRN"," ",3.22,"TIBURON, SAN RAFAEL AVENUE                                                                                    ",2000,21300,20000,2200,23700,22200,
4,131,"MRN"," ",4.39,"TIBURON, MAIN STREET, EAST                                                                                    ",780,8600,7400,"      ","       ","       ",
10,132," SJ"," ","       ","SAN JOAQUIN COUNTY                                                                                            ","      ","       ","       ","      ","       ","       ",
10,132," SJ"," ",0,"JCT. RTE. 580; BEGIN FREEWAY                                                                                  ","      ","       ","       ",1550,15300,14000,
10,132," SJ"," ",0.24,"CHRISMAN ROAD INTERCHANGE                                                                                     ",1550,15300,14000,1450,14300,13100,
10,132," SJ"," ",1.16,"END FREEWAY                                                                                                   ",,,,,,,
10,132," SJ"," ",2.68,"BEGIN FREEWAY                                                                                                 ",,,,,,,
10,132," SJ"," ",3.24,"JCT. RTE. 5                                                                                                   ",1450,14300,13100,1450,14400,13200,
10,132," SJ"," ",3.81,"END FREEWAY                                                                                                   ",,,,,,,
10,132," SJ","R",5.86,"VERNALIS, JCT. RTE. 33                                                                                        ",1450,14400,13200,1500,15700,14100,
10,132,"STA"," ",7.11,"SAN JOAQUIN COUNTY-STANISLAUS COUNTY                                                                          ",1650,16400,15100,1650,16400,15100,
10,132,"STA","R",3.23,"MILEPOST EQUATION   =3.20                                                                                     ",,,,,,,
10,132,"STA"," ",8.38,"HART ROAD                                                                                                     ",1550,15800,14600,1450,15000,13900,
10,132,"STA"," ",11.39,"DAKOTA AVENUE                                                                                                 ",1500,15700,14600,1400,15000,14000,
10,132,"STA"," ",13.42,"MODESTO, CARPENTER ROAD                                                                                       ",1300,14300,13400,1250,13400,12500,
10,132,"STA"," ",14.73,"MODESTO, JCT. RTE. 99                                                                                         ",1650,19000,17500,1350,14700,13900,
10,132,"STA","L",14.98,"JCT. RTE. 108 WEST, L STREET                                                                                  ",1350,14700,13900,1850,19900,19200,
10,132,"STA","L",15.06,"MODESTO, JCT. RTE. 108 EAST                                                                                   ","      ","       ","       ","      ","       ","       ",
10,132,"STA","L",15.71,"MODESTO, 9TH/D STREETS   (MILEPOST EQUATION)                                                                  ",2000,21500,20600,1650,17700,16900,
10,132,"STA"," ",15.34,"MODESTO, 14TH/D STREETS                                                                                       ",1800,19500,18500,1750,18900,17800,
10,132,"STA"," ",16.32,"MODESTO, LA LOMA AVENUE                                                                                       ",2000,21300,19900,2900,31500,29000,
10,132,"STA"," ",17.14,"MODESTO, MITCHELL ROAD/   EL VISTA AVENUE                                                                     ",2500,27000,25000,2400,26000,23900,
10,132,"STA"," ",18.15,"LINCOLN AVENUE                                                                                                ",2150,23400,21600,1850,20200,18600,
10,132,"STA"," ",19.13,"CLAUS ROAD                                                                                                    ",1800,19900,18300,1900,21100,19400,
10,132,"STA"," ",20.1,"EMPIRE, SANTA FE DRIVE/E STREET                                                                               ",1500,16900,15500,1050,11300,10400,
10,132,"STA"," ",23.14,"GEER/ALBERS ROADS                                                                                             ",730,8000,7300,1000,11100,10100,
10,132,"STA"," ",28,"WATERFORD, HICKMAN ROAD/F STREET                                                                              ",810,8500,7600,730,7400,6500,
10,132,"STA"," ",29.11,"SKYLINE BOULEVARD                                                                                             ",560,5200,4500,500,4350,3700,
10,132,"STA","R",41.57,"MILEPOST EQUATION  =41.61                                                                                     ",,,,,,,
10,132,"STA"," ",45.81,"LA GRANGE, JCT. RTE. 59,   LA GRANGE ROAD                                                                     ",290,2400,1900,250,1850,1550,
10,132,"TUO"," ",51.01,"STANISLAUS COUNTY-TUOLUMNE COUNTY                                                                             ",190,1400,1150,190,1400,1150,
10,132,"TUO"," ",0.46,"TUOLUMNE COUNTY-   MARIPOSA COUNTY LINE                                                                       ","      ","       ","       ","      ","       ","       ",
10,132,"TUO"," ",3.77,"MARIPOSA COUNTY-   TUOLUMNE COUNTY LINE                                                                       ","      ","       ","       ","      ","       ","       ",
10,132,"TUO","R",6,"MILEPOST EQUATION   =5.87                                                                                     ",,,,,,,
10,132,"TUO","R",7.64,"TUOLUMNE COUNTY-   MARIPOSA COUNTY LINE                                                                       ",190,1300,1100,190,1350,1100,
10,132,"TUO","R",12.53,"MILEPOST EQUATION  =14.59                                                                                     ",,,,,,,
10,132,"TUO"," ",18.75,"COULTERVILLE, JCT. RTE. 49                                                                                    ",170,1250,1000,"      ","       ","       ",
12,133,"ORA"," ","       ","ORANGE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
12,133,"ORA"," ",0,"LAGUNA BEACH, JCT. RTE. 1,   PACIFIC COAST HIGHWAY                                                            ","      ","       ","       ",1700,24100,20500,
12,133,"ORA"," ",0.23,"LAGUNA BEACH, CLIFF/ACACIA DRIVES                                                                             ",1700,24100,20500,3050,43500,37000,
12,133,"ORA"," ",0.96,"LAGUNA BEACH, CANYON ACRES DRIVE                                                                              ",2550,33000,28000,3600,42500,36000,
12,133,"ORA"," ",3.42,"LAGUNA BEACH, EL TORO ROAD                                                                                    ",3600,42500,36000,3150,34000,29000,
12,133,"ORA"," ",7.71,"IRVINE, LAGUNA CANYON ROAD                                                                                    ",3150,34000,29000,2450,26500,22500,
12,133,"ORA"," ",8.08,"BEGIN FREEWAY                                                                                                 ",,,,,,,
12,133,"ORA"," ",8.38,"IRVINE, JCT. RTE. 405,   SAN DIEGO FREEWAY                                                                    ",2450,26500,22500,1700,18300,15500,
12,133,"ORA","R",9.52,"IRVINE, JCT. RTE. 5,   SANTA ANA FREEWAY                                                                      ",1700,18300,15500,"      ","       ","       ",
7,134," LA"," ","       ","LOS ANGELES COUNTY                                                                                            ","      ","       ","       ","      ","       ","       ",
7,134," LA"," ",0,"NORTH HOLLYWOOD, JCT. RTE. 1  VENTURA/HOLLYWOOD FREEWAYS                                                      ","      ","       ","       ",14100,187000,179000,
7,134," LA"," ",0.51,"NORTH HOLLYWOOD, LANKER=   SHIM BOULEVARD INTERCHANGE                                                         ",14100,187000,179000,14200,188000,180000,
7,134," LA"," ",0.86,"NORTH HOLLYWOOD, CAHUENGA   BOULEVARD INTERCHANGE                                                             ",14200,188000,180000,15600,211000,205000,
7,134," LA"," ",2.11,"BURBANK, HOLLYWOOD WAY INTERCHANGE                                                                            ",15600,211000,205000,15400,205000,196000,
7,134," LA"," ",2.9,"BURBANK, RIVERSIDE   DRIVE INTERCHANGE                                                                        ",15400,205000,196000,15200,202000,193000,
7,134," LA"," ",3.81,"LOS ANGELES, FOREST LAWN   DRIVE INTERCHANGE                                                                  ",15200,202000,193000,16300,216000,207000,
7,134," LA"," ",4.81,"LOS ANGELES, VICTORY   BOULEVARD/RIVERSIDE DRIVE INTERCHANGE                                                  ",16300,216000,207000,14900,199000,190000,
7,134," LA","R",5.47,"LOS ANGELES, JCT. RTE. 5,   GOLDEN STATE FREEWAY                                                              ",14900,199000,190000,18800,233000,224000,
7,134," LA","R",6.18,"GLENDALE, CONCORD STREET INTERCHANGE                                                                          ",18800,233000,224000,18600,229000,221000,
7,134," LA","R",6.57,"GLENDALE, PACIFIC AVENUE INTERCHANGE                                                                          ",18600,229000,221000,18400,226000,219000,
7,134," LA","R",7.13,"GLENDALE, BRAND BOULEVARD INTERCHANGE                                                                         ",18400,226000,219000,17900,218000,212000,
7,134," LA","R",7.87,"GLENDALE, GLENDALE AVENUE INTERCHANGE                                                                         ",17900,218000,212000,19000,234000,225000,
7,134," LA","R",8.76,"GLENDALE, JCT. RTE. 2                                                                                         ",19000,234000,225000,16600,188000,180000,
7,134," LA","R",11.44,"LOS ANGELES, EAGLE ROCK/   FIGUEROA STREETS INTERCHANGE                                                       ",16600,188000,180000,17000,194000,185000,
7,134," LA","R",12.57,"PASADENA, JCT. RTE. 159   NORTH, SAN RAFAEL AVENUE INTERCHANGE                                                ",17000,194000,185000,17700,201000,192000,
7,134," LA","R",12.97,"PASADENA, ORANGE GROVE   BOULEVARD INTERCHANGE                                                                ",17700,201000,192000,16200,184000,176000,
7,134," LA","R",13.34,"PASADENA, JCT. RTES. 210 AND 710                                                                              ",16200,184000,176000,"      ","       ","       ",
5,135," SB"," ","       ","SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,135," SB"," ",0,"LOS ALAMOS, JCT. RTE. 101                                                                                     ","      ","       ","       ",260,3300,2800,
5,135," SB"," ",1,"OLD STATE HIGHWAY                                                                                             ",260,3300,2800,170,2050,1800,
5,135," SB","M",9.1,"JUNCTION OLD ROUTE 1                                                                                          ",130,1600,1350,240,2700,2300,
5,135," SB","M",9.61,"SAN ANTONIO ROAD                                                                                              ",240,2700,2300,240,2550,2150,
5,135," SB","M",11.72,"SOUTH JCT. RTE. 1                                                                                             ",240,2550,2150,"      ","       ","       ",
5,135," SB"," ","       ","  (BREAK IN ROUTE)                                                                                            ","      ","       ","       ","      ","       ","       ",
5,135," SB","R",9.1,"ORCUTT, NORTH JCT. RTE. 1;   BEGIN FREEWAY                                                                    ","      ","       ","       ",1300,14200,13300,
5,135," SB","R",10.41,"EAST CLARK AVENUE INTERCHANGE                                                                                 ",1300,14200,13300,1900,18100,16800,
5,135," SB","R",10.68,"END FREEWAY                                                                                                   ",,,,,,,
5,135," SB","R",10.77,"MILEPOST EQUATION  =10.05                                                                                     ",,,,,,,
5,135," SB"," ",10.93,"FOSTER ROAD                                                                                                   ",1900,18100,16800,2650,23200,21500,
5,135," SB"," ",11.73,"LAKEVIEW ROAD/SKYWAY DRIVE                                                                                    ",2650,23200,21500,3850,34000,31500,
5,135," SB"," ",12.74,"MILLER STREET                                                                                                 ",3850,34000,31500,2650,23000,21500,
5,135," SB"," ",13,"SANTA MARIA WAY                                                                                               ",2650,23000,21500,3200,34500,32000,
5,135," SB"," ",13.54,"BETTERAVIA ROAD                                                                                               ",3200,34500,32000,3550,38500,35500,
5,135," SB"," ",14.78,"SANTA MARIA, STOWELL ROAD                                                                                     ",3550,38500,35500,3250,34500,32000,
5,135," SB"," ",15.77,"SANTA MARIA, JCT. RTE.166,   MAIN STREET                                                                      ",2300,29500,28000,2500,31000,28500,
5,135," SB"," ",16.77,"SANTA MARIA, DONOVAN ROAD                                                                                     ",2500,31000,28500,1800,22100,20500,
5,135," SB"," ",17.81,"SANTA MARIA, JCT. RTE. 101                                                                                    ",1150,14500,13500,"      ","       ","       ",
9,136,"INY"," ","       ","INYO COUNTY                                                                                                   ","      ","       ","       ","      ","       ","       ",
9,136,"INY"," ",0,"JCT. RTE. 395; LONE PINE, SOUTH                                                                               ","      ","       ","       ",95,790,610,
9,136,"INY"," ",17.73,"JCT. RTE. 190 AT OLANCHA   CUTOFF; KEELER, SOUTH                                                              ",50,470,370,"      ","       ","       ",
6,137,"KIN"," ","       ","KINGS COUNTY                                                                                                  ","      ","       ","       ","      ","       ","       ",
6,137,"KIN"," ",0,"JCT. RTE. 43, CENTRAL VALLEY ROAD                                                                             ","      ","       ","       ",170,1850,1750,
6,137,"TUL"," ",2.06,"KINGS COUNTY-TULARE COUNTY                                                                                    ",260,2700,2650,260,2700,2650,
6,137,"TUL"," ",1.86,"ROAD 28                                                                                                       ",260,2700,2650,290,3050,3000,
6,137,"TUL"," ",13.28,"ROAD 84                                                                                                       ",230,2450,2400,220,2350,2300,
6,137,"TUL"," ",14.26,"TULARE, SOUTH WEST STREET (ROAD 92)                                                                           ",520,5800,5400,370,4650,4300,
6,137,"TUL"," ",14.76,"TULARE, PRATT STREET   (BROOKLYN STREET)                                                                      ",870,10000,9300,870,10000,9300,
6,137,"TUL","R",15.38,"TULARE, SOUTH J STREET                                                                                        ",840,9700,9000,430,4950,4600,
6,137,"TUL","R",15.53,"TULARE, SOUTH L STREET                                                                                        ",430,4950,4600,580,6700,6200,
6,137,"TUL","R",15.6,"TULARE, M STREET AT INYO                                                                                      ",580,6700,6200,570,6700,6100,
6,137,"TUL"," ",15.78,"TULARE, M STREET AT TULARE                                                                                    ",570,6700,6100,1650,15600,15000,
6,137,"TUL"," ",16.12,"TULARE, CHERRY AVENUE                                                                                         ",1500,14300,14000,1950,18400,18000,
6,137,"TUL"," ",16.49,"TULARE, BLACKSTONE AVENUE                                                                                     ",1950,18400,18000,1900,18100,17700,
6,137,"TUL"," ",16.63,"TULARE, JCT. RTE. 99                                                                                          ",1900,18100,17700,1500,14300,14000,
6,137,"TUL"," ",17.01,"TULARE, LASPINA STREET (ROAD 112)                                                                             ",1500,14300,14000,1250,15300,15000,
6,137,"TUL"," ",17.51,"JCT. RTE. 63 NORTH,   MOONEY BOULEVARD                                                                        ",1100,13800,13500,820,10100,9900,
6,137,"TUL"," ",20.46,"LOVERS LANE (ROAD 140)                                                                                        ",540,6600,6500,590,7600,7200,
6,137,"TUL"," ",23.9,"FARMERSVILLE ROAD (ROAD 168)                                                                                  ",590,7500,7100,640,8700,7600,
6,137,"TUL"," ",27.4,"CAIRNS CORNER, JCT. RTE. 65                                                                                   ",640,8700,7600,"      ","       ","       ",
7,138," LA"," ","       ","LOS ANGELES COUNTY                                                                                            ","      ","       ","       ","      ","       ","       ",
7,138," LA"," ",0,"JCT RTE. 5, GOLDEN STATE FREEWAY                                                                              ","      ","       ","       ",400,3650,3250,
7,138," LA"," ",1.7,"END FREEWAY                                                                                                   ",,,,,,,
7,138," LA"," ",1.71,"GORMAN POST ROAD                                                                                              ",400,3650,3250,470,4300,3800,
7,138," LA"," ",4.11,"OLD RIDGE ROUTE ROAD                                                                                          ",470,4300,3800,300,3250,3000,
7,138," LA"," ",28.05,"110TH STREET                                                                                                  ",310,3350,3100,350,3850,3550,
7,138," LA"," ",36.87,"JCT. RTE. 14 NORTH,    ANTELOPE VALLEY FREEWAY                                                                ",350,3850,3550,"      ","       ","       ",
7,138," LA"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,138," LA"," ",43.42,"PALMDALE, JCT. RTE. 14,   ANTELOPE VALLEY FREEWAY                                                             ","      ","       ","       ",2500,30500,29500,
7,138," LA"," ",44.42,"PALMDALE, SIERRA HIGHWAY                                                                                      ",3050,36500,35500,2850,34000,33000,
7,138," LA"," ",44.69,"PALMDALE, 10TH STREET EAST                                                                                    ",2600,31000,30000,2650,31000,30000,
7,138," LA"," ",45.71,"PALMDALE, 20TH STREET EAST                                                                                    ",2650,31000,30000,2450,28500,27500,
7,138," LA"," ",46.73,"PALMDALE, 30TH STREET EAST                                                                                    ",2450,28500,27500,1900,21600,21000,
7,138," LA"," ",47.25,"PALMDALE, 35TH STREET EAST                                                                                    ",1900,21600,21000,1700,19600,19000,
7,138," LA"," ",48.59,"PALMDALE, 47TH STREET EAST   (RIGHT ON 47TH STREET EAST)                                                      ",1650,19000,18500,1550,18700,18500,
7,138," LA"," ",51.41,"PEARBLOSSOM HIGHWAY (AVENUE T)                                                                                ",1550,18700,18500,1450,17700,17500,
7,138," LA"," ",53.55,"LITTLE ROCK CREEK                                                                                             ",1450,15700,15000,1450,15700,15000,
7,138," LA"," ",56.17,"LITTLE ROCK, 96TH STREET EAST                                                                                 ",1450,15700,15000,1350,14300,13700,
7,138," LA"," ",60.17,"PEARBLOSSOM, LONGVIEW ROAD                                                                                    ",1350,14000,13400,1250,12800,12300,
7,138," LA"," ",63.68,"LLANO, 165TH STREET EAST                                                                                      ",1200,12400,11900,1300,13200,12600,
7,138," LA"," ",69.3,"JCT. RTE. 18 EAST                                                                                             ",1100,11100,10600,730,7200,6900,
7,138," LA"," ",74.97,"LOS ANGELES-SAN BERNARDINO   COUNTY LINE                                                                      ",560,6800,6500,"      ","       ","       ",
8,138,"SBD"," ",0,"LOS ANGELES-SAN BERNARDINO   COUNTY LINE                                                                      ","      ","       ","       ",560,6800,6500,
8,138,"SBD"," ",6.66,"JCT. RTE. 2 WEST (TO WRIGHTWOOD)                                                                              ",1050,13500,13200,1050,13400,13100,
8,138,"SBD","R",15.2,"CAJON, JCT. RTE. 15                                                                                           ",1050,13400,13100,180,2000,1650,
8,138,"SBD","T",16.4,"MILEPOST EQUATION   =16.76                                                                                    ",,,,,,,
8,138,"SBD","R",23.96,"JCT. RTE. 173 EAST                                                                                            ",180,2000,1650,250,1350,1200,
8,138,"SBD","R",26.47,"CLEGHORN CANYON ROAD                                                                                          ",250,1350,1200,180,1050,900,
8,138,"SBD","R",30.87,"MILEPOST EQUATION  =31.50                                                                              ",,,,,,,
8,138,"SBD"," ",33.66,"OLD MILL ROAD                                                                                                 ",65,350,300,110,620,520,
8,138,"SBD"," ",35.74,"WATERS DRIVE                                                                                                  ",110,620,520,1050,6400,5500,
8,138,"SBD"," ",36.27,"CRESTLINE, KNAPPS CUTOFF                                                                                      ",1100,7400,6600,430,3400,3100,
8,138,"SBD"," ",36.71,"CRESTLINE, CREST FOREST DRIVE                                                                                 ",430,3400,3100,890,7900,7400,
8,138,"SBD","R",37.85,"JCT. RTE. 18, CRESTLINE INTERCHANGE                                                                           ",790,8300,7900,"      ","       ","       ",
2,139,"LAS"," ","       ","LASSEN COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
2,139,"LAS"," ",0,"SUSANVILLE, JCT. RTE. 36,   MAIN STREET                                                                       ","      ","       ","       ",780,8200,7700,
2,139,"LAS"," ",1.42,"ENTRANCE, LASSEN COLLEGE                                                                                      ",550,4500,4300,150,3000,1550,
2,139,"LAS"," ",2.34,"SUSANVILLE DUMP                                                                                               ",120,1200,960,110,1150,790,
2,139,"LAS"," ",7.42,"MILEPOST EQUATION  =R7.45                                                                                     ",,,,,,,
2,139,"LAS","R",25.94,"MILEPOST EQUATION  =25.96                                                                                     ",,,,,,,
2,139,"LAS"," ",61.46,"COUNTY ROAD A2 (SUSANVILLE ROAD)                                                                              ",130,950,500,130,940,480,
2,139,"LAS"," ",66.64,"LASSEN COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
2,139,"MOD"," ",0,"MODOC COUNTY SOUTH JCT. RTE. 299; ADIN, SOUTH                                                                 ",70,740,550,"      ","       ","       ",
2,139,"MOD"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
2,139,"MOD","R",0.23,"NORTH JCT. RTE. 299; CANBY, WEST                                                                              ","      ","       ","       ",120,1500,1100,
2,139,"MOD","T",11.19,"MILEPOST EQUATION   =11.67                                                                                    ",,,,,,,
2,139,"MOD"," ",17.35,"LOOKOUT/HACKMORE ROADS                                                                                        ",120,1500,1100,140,1800,1350,
2,139,"MOD"," ",23.2,"TULELAKE QUARANTINE STATION                                                                                   ","      ","       ","       ","      ","       ","       ",
2,139,"MOD"," ",40.54,"COUNTY ROAD TO MALIN                                                                                          ",190,1800,1650,230,2000,1750,
2,139,"MOD"," ",44.5,"NEWELL                                                                                                        ",270,2700,2600,260,3300,2750,
2,139,"MOD"," ",50.68,"MODOC COUNTY                                                                                                  ","      ","       ","       ","      ","       ","       ",
2,139,"SIS"," ",0,"SISKIYOU COUNTY TULELAKE, EAST/WEST ROADS                                                                     ",310,3550,3200,310,3600,3200,
2,139,"SIS"," ",5.04,"OREGON STATE LINE,   JCT. RTE. 161 WEST                                                                       ",280,3550,3000,"      ","       ","       ",
10,140,"MER"," ","       ","MERCED COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
10,140,"MER"," ",0,"JCT. RTE. 5                                                                                                   ","      ","       ","       ",110,1100,850,
10,140,"MER"," ",4.19,"WEST JCT. RTE. 33   (MILEPOST EQUATION)                                                                       ",200,2200,1700,560,6900,5400,
10,140,"MER"," ",5.79,"GUSTINE, FOURTH AVENUE                                                                                        ",760,9100,7300,910,10600,8700,
10,140,"MER"," ",6.06,"GUSTINE, EAST JCT. RTE. 33                                                                                    ",890,10200,8500,320,4050,3450,
10,140,"MER"," ",6.83,"KNIEBES ROAD                                                                                                  ",270,3250,2750,280,3400,2950,
10,140,"MER"," ",16.22,"JCT. RTE. 165, LANDER   AVENUE; STEVINSON, SOUTH                                                              ",280,3400,2950,280,3250,2850,
10,140,"MER","R",19.37,"MILEPOST EQUATION  =19.41                                                                                     ",,,,,,,
10,140,"MER"," ",23.44,"LINCOLN BOULEVARD                                                                                             ",320,3750,3250,340,3950,3450,
10,140,"MER"," ",29.47,"APPLEGATE ROAD                                                                                                ",370,4250,3700,410,4700,4100,
10,140,"MER"," ",31.51,"BUHACH ROAD                                                                                                   ",440,5000,4400,480,5400,4750,
10,140,"MER"," ",33.55,"FRANKLIN ROAD                                                                                                 ",480,5300,4700,510,5600,4950,
10,140,"MER"," ",35.78,"MERCED, NORTH JCT. RTE. 99,   JCT. RTE. 59                                                                    ",1150,12600,11200,"      ","       ","       ",
10,140,"MER"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
10,140,"MER"," ",35.79,"MERCED, SOUTH JCT. RTE. 99                                                                                    ","      ","       ","       ",1750,19900,17800,
10,140,"MER"," ",35.88,"MERCED, GLEN AVENUE/MOTEL DRIVE                                                                               ",1750,19900,17800,1200,14500,13200,
10,140,"MER"," ",36.7,"MERCED, PARSONS AVENUE                                                                                        ",1200,13700,12300,1300,14700,13200,
10,140,"MER"," ",37.4,"MERCED, SANTA FE AVENUE                                                                                       ",1000,11500,10300,760,8300,7400,
10,140,"MER"," ",43.7,"PLANADA ROAD                                                                                                  ",830,8900,7800,450,4650,4050,
10,140,"MPA"," ",50.3,"MERCED COUNTY-MARIPOSA COUNTY                                                                                 ",510,5300,4550,510,5300,4550,
10,140,"MPA","R",6.49,"MILEPOST EQUATION   =6.51                                                                                     ",,,,,,,
10,140,"MPA"," ",9.5,"HORNITOS ROAD                                                                                                 ",560,5800,5000,480,5100,4150,
10,140,"MPA"," ",21.22,"SOUTH JCT. RTE. 49                                                                                            ",440,5200,4300,1250,13900,11700,
10,140,"MPA"," ",21.38,"MARIPOSA, SIXTH STREET                                                                                        ",1250,13900,11700,1100,11700,10000,
10,140,"MPA"," ",22,"NORTH JCT. RTE. 49                                                                                            ",1100,11700,10000,430,5000,4100,
10,140,"MPA"," ",25.48,"MIDPINES SUMMIT   (ELEV. 2962 FEET)                                                                           ","      ","       ","       ","      ","       ","       ",
10,140,"MPA"," ",26.29,"TRIANGLE ROAD                                                                                                 ",420,4550,3650,400,4100,3250,
10,140,"MPA"," ",28.95,"OAK ROAD                                                                                                      ",360,3900,2850,380,3500,2650,
10,140,"MPA","R",31.31,"MILEPOST EQUATION  =31.54                                                                                     ",,,,,,,
10,140,"MPA"," ",50.32,"EL PORTAL ROAD                                                                                                ",360,3150,2300,390,3300,2350,
10,140,"MPA"," ",51.8,"YOSEMITE NATIONAL PARK   BOUNDARY; EL PORTAL, EAST                                                            ",390,3300,2350,"      ","       ","       ",
12,142,"ORA"," ","       ","ORANGE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
12,142,"ORA","R",0.75,"BREA, JCT. RTE. 90, IMPERIAL HIGHWAY                                                                          ","      ","       ","       ",1000,9200,8700,
12,142,"ORA"," ",1.41,"BREA, BIRCH STREET/ROSE ROAD                                                                                  ",860,7400,7200,1350,11500,11100,
12,142,"ORA"," ",1.55,"MILEPOST EQUATION  =R1.55                                                                                     ",,,,,,,
12,142,"ORA","R",1.77,"CARBON CANYON ROAD EAST   OF VALENCIA AVENUE                                                                  ",1400,11700,11500,2000,16500,16200,
12,142,"ORA","R",1.94,"MILEPOST EQUATION   =1.78                                                                                     ",,,,,,,
12,142,"ORA"," ",2.86,"BREA, CARBON CANYON PARK ENTRANCE                                                                             ",2300,17300,16600,2100,16000,15300,
12,142,"ORA"," ",4.27,"BREA, OLINDA CREEK                                                                                            ",2550,17300,15800,2550,17300,15800,
12,142,"ORA"," ",6.35,"ORANGE-SAN BERNARDINO   COUNTY LINE (BREA CITY LIMITS)                                                        ",2000,16100,15000,"      ","       ","       ",
8,142,"SBD"," ",0,"ORANGE-SAN BERNARDINO COUNTY L                                                                                ","      ","       ","       ",2000,16100,15000,
8,142,"SBD","R",1.81,"MILEPOST EQUATION   =1.86                                                                            ",,,,,,,
8,142,"SBD"," ",4.4,"PEYTON DRIVE                                                                                                  ",2600,23000,20000,2850,25500,22000,
8,142,"SBD"," ",5.43,"PIPELINE AVENUE                                                                                               ",2850,25500,22000,2950,26500,22500,
8,142,"SBD"," ",5.78,"JCT. RTE. 71; CHINO, SOUTH                                                                                    ",3000,27000,22900,"      ","       ","       ",
5,144," SB"," ","       ","SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,144," SB"," ",0,"SANTA BARBARA, JCT. RTE. 101                                                                                  ","      ","       ","       ",3850,38000,34500,
5,144," SB"," ",0.24,"SANTA BARBARA, MASON STREET                                                                                   ",3850,38000,34500,460,5700,5100,
5,144," SB"," ",0.7,"SANTA BARBARA, SALINAS STREET                                                                                 ",460,5700,5100,810,8200,7400,
5,144," SB"," ",0.89,"SANTA BARBARA, SYCAMORE CANYON ROAD                                                                           ",810,8200,7400,420,4300,3900,
5,144," SB"," ",1.95,"SANTA BARBARA, JCT. RTE. 192                                                                                  ",370,3800,3400,"      ","       ","       ",
6,145,"FRE"," ","       ","FRESNO COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
6,145,"FRE"," ",0,"JCT. RTES. 5 AND 33                                                                                           ","      ","       ","       ",480,6400,4300,
6,145,"FRE"," ",10.32,"EXCELSIOR AVENUE                                                                                              ",480,6400,4300,460,6100,4100,
6,145,"FRE"," ",13.21,"JCT. RTE. 269 SOUTH, LASSEN AVENUE                                                                            ",460,6100,4100,610,8100,5500,
6,145,"FRE"," ",15.22,"CERINI ROAD                                                                                                   ",610,8100,5500,430,5800,3900,
6,145,"FRE"," ",17.27,"ELKHORN AVENUE                                                                                                ",430,5800,3900,370,4900,3300,
6,145,"FRE"," ",20.28,"KAMM AVENUE                                                                                                   ",430,5800,3900,390,5200,3500,
6,145,"FRE"," ",20.65,"COLORADO ROAD                                                                                                 ",390,5200,3500,460,6100,4100,
6,145,"FRE"," ",25.09,"MADERA AVENUE                                                                                                 ",460,6100,4100,240,3250,2200,
6,145,"FRE"," ",26.09,"MANNING AVENUE                                                                                                ",240,3250,2200,240,3250,2900,
6,145,"FRE"," ",30.11,"AMERICA AVENUE                                                                                                ",240,3250,2900,450,6000,5400,
6,145,"FRE"," ",33.63,"KERMAN, CHURCH AVENUE                                                                                         ",450,6000,5400,500,6800,6100,
6,145,"FRE"," ",34.37,"KERMAN, D STREET                                                                                              ",1150,15800,14200,1000,13700,12300,
6,145,"FRE"," ",35.15,"KERMAN, JCT. RTE. 180,   WHITE BRIDGES/MADERA AVENUES                                                         ",1200,16200,14500,870,11700,10500,
6,145,"FRE"," ",36.15,"BELMONT AVENUE                                                                                                ",770,10400,9300,580,7800,7000,
6,145,"FRE"," ",40.17,"SHAW AVENUE                                                                                                   ",410,5600,5000,430,5800,5200,
6,145,"FRE","R",41.28,"FRESNO COUNTY (SAN JOAQUIN   RIVER)                                                                           ","      ","       ","       ","      ","       ","       ",
6,145,"MAD","R",0.8,"MILEPOST EQUATION   =0.83                                                                                     ",,,,,,,
6,145,"MAD"," ",5.88,"MILEPOST EQUATION   =5.98                                                                                     ",,,,,,,
6,145,"MAD"," ",7.06,"AVENUE 12 (POLE LINE ROAD)                                                                                    ",430,5500,5100,630,8100,7500,
6,145,"MAD"," ",8.06,"AVENUE 13                                                                                                     ",770,9900,9100,890,11500,10600,
